43,1,Level,1
44,1,Level,1
45,1,Level,1
114,1,Level,10
140,1,Level,13
141,1,Level,1
141,1,Level,13
182,1,Level,1
192,1,Level,1
193,1,Level,1
252,1,Level,1
253,1,Level,1
253,1,Level,6
254,1,Level,1
254,1,Level,6
267,1,Level,1
267,1,Level,10
270,1,Level,7
271,1,Level,7
272,1,Level,1
285,1,Level,1
286,1,Level,1
315,1,Level,1
331,1,Level,5
332,1,Level,1
332,1,Level,5
23,2,Level,32
24,2,Level,38
43,2,Level,23
44,2,Level,24
69,2,Level,23
70,2,Level,24
72,2,Level,19
73,2,Level,19
345,2,Level,15
346,2,Level,1
346,2,Level,15
331,2,Breedin,
332,2,Breedin,
88,3,Level,34
89,3,Level,34
134,3,Level,47
218,3,Breeding,
219,3,Breeding,
316,3,Breeding,
317,3,Breeding,
21,4,Level,25
276,4,Level,34
277,4,Level,38
4,4,TM,
5,4,TM,
6,4,TM,
12,4,TM,
15,4,TM,
16,4,TM,
17,4,TM,
18,4,TM,
21,4,TM,
22,4,TM,
27,4,TM,
28,4,TM,
29,4,TM,
30,4,TM,
31,4,TM,
41,4,TM,
42,4,TM,
46,4,TM,
47,4,TM,
49,4,TM,
50,4,TM,
51,4,TM,
52,4,TM,
53,4,TM,
54,4,TM,
55,4,TM,
56,4,TM,
57,4,TM,
58,4,TM,
59,4,TM,
83,4,TM,
84,4,TM,
85,4,TM,
104,4,TM,
105,4,TM,
115,4,TM,
123,4,TM,
137,4,TM,
140,4,TM,
141,4,TM,
142,4,TM,
144,4,TM,
145,4,TM,
146,4,TM,
149,4,TM,
150,4,TM,
151,4,TM,
155,4,TM,
156,4,TM,
157,4,TM,
158,4,TM,
159,4,TM,
160,4,TM,
163,4,TM,
164,4,TM,
165,4,TM,
166,4,TM,
169,4,TM,
176,4,TM,
177,4,TM,
178,4,TM,
187,4,TM,
188,4,TM,
189,4,TM,
190,4,TM,
193,4,TM,
198,4,TM,
200,4,TM,
207,4,TM,
212,4,TM,
215,4,TM,
216,4,TM,
217,4,TM,
225,4,TM,
226,4,TM,
227,4,TM,
233,4,TM,
248,4,TM,
249,4,TM,
250,4,TM,
251,4,TM,
252,4,TM,
253,4,TM,
254,4,TM,
255,4,TM,
256,4,TM,
257,4,TM,
267,4,TM,
269,4,TM,
275,4,TM,
276,4,TM,
277,4,TM,
278,4,TM,
279,4,TM,
284,4,TM,
287,4,TM,
288,4,TM,
289,4,TM,
290,4,TM,
291,4,TM,
292,4,TM,
302,4,TM,
304,4,TM,
305,4,TM,
306,4,TM,
313,4,TM,
314,4,TM,
333,4,TM,
334,4,TM,
335,4,TM,
341,4,TM,
342,4,TM,
347,4,TM,
348,4,TM,
352,4,TM,
357,4,TM,
359,4,TM,
371,4,TM,
372,4,TM,
373,4,TM,
375,4,TM,
376,4,TM,
379,4,TM,
380,4,TM,
381,4,TM,
383,4,TM,
384,4,TM,
385,4,TM,
386,4,TM,
249,5,Level,77
15,6,Level,40
16,6,Level,39
17,6,Level,43
18,6,Level,48
21,6,Level,43
22,6,Level,47
25,6,Level,33
58,6,Level,43
77,6,Level,38
78,6,Level,38
83,6,Level,36
84,6,Level,45
85,6,Level,60
107,6,Level,7
116,6,Level,36
117,6,Level,40
118,6,Level,52
119,6,Level,61
123,6,Level,21
135,6,Level,47
137,6,Level,9
142,6,Level,8
144,6,Level,25
145,6,Level,25
146,6,Level,25
147,6,Level,36
148,6,Level,38
149,6,Level,38
165,6,Level,43
166,6,Level,51
167,6,Level,45
168,6,Level,53
190,6,Level,50
203,6,Level,31
212,6,Level,21
215,6,Level,36
226,6,Level,29
227,6,Level,16
230,6,Level,40
233,6,Level,9
237,6,Level,37
252,6,Level,31
253,6,Level,35
254,6,Level,35
276,6,Level,43
277,6,Level,49
278,6,Level,55
283,6,Level,31
291,6,Level,38
311,6,Level,47
312,6,Level,47
318,6,Level,43
319,6,Level,53
368,6,Level,15
370,6,Level,16
375,6,Level,56
376,6,Level,66
386,6,Level,35
190,6,Breeding,
278,6,Breeding,
